docto_id,referencia,fecha,fecha_cancelacion,fecha_entrega,partidas,ubicacion,cliente,cantidad_pedida,cantidad_surtida,tarimas,estado,
INVS-CED-3-3-20260216-000000156,INVE-REF-CED-INV-3-3-20260216-000000155,"2026-02-16 09:45:13.444599","2026-03-18 09:45:13.444599",,1,STAR-1,INVENTARIOS,1.00,1.00,1,EMBARCADO
INVS-CED-3-3-20260209-000000080,INVE-REF-CED-INV-3-3-20260209-000000079,"2026-02-09 19:24:39.591772","2026-03-11 19:24:39.591772",,12,STAR-1,INVENTARIOS,36.00,36.00,3,EMBARCADO
INVS-CED-3-3-20260303-000000356,INVE-REF-CED-INV-3-3-20260303-000000355,"2026-03-03 16:01:08.630285","2026-04-02 16:01:08.630285",,1,STAR-1,INVENTARIOS,1.00,1.00,1,EMBARCADO
DO_117321511368,FEBRERO_O-IFA3Z866075,"2026-02-13 10:58:11.898647","2026-03-15 10:58:11.898647",,247,ST01,"PRIVALIA VENTA DIRECTA",2303.00,1437.00,387,EMBARCADO
DO_TR0003384501,ST-00033845-IFA3Z124142,"2026-02-13 13:00:09.085328","2026-03-15 13:00:09.085329",,4,ST02,"Cliente contenido en la orden: DO_TR0003384501",5.00,5.00,5,EMBARCADO
DO_117836111312,"GRABASA Q2 53% GUADALAJARA 100202441-IFA3Z180931","2026-03-13 15:20:03.269559","2026-04-12 15:20:03.26956",,5,ST01,"DISTRIBUIDORA DEPORTIVA BR",50.00,50.00,8,EMBARCADO
DO_TR0003243201,ST-00032432-IFA3Z206906,"2026-01-23 16:05:22.310971","2026-02-22 16:05:22.310972",,21,ST01,"Cliente contenido en la orden: DO_TR0003239901",411.00,411.00,48,EMBARCADO
DO_TR0003364701,ST-00033647-IFA3Z131977,"2026-02-11 12:00:23.636913","2026-03-13 12:00:23.636914",,158,ST03,"Cliente contenido en la orden: DO_TR0003239901",1570.00,237.00,88,EMBARCADO
38dc1a98-c8dc-464d-ab9b-90aa76488cbc,"COMPLETO JOERGIEBOY 33007","2026-02-03 18:01:07.912421","2026-03-05 18:01:07.912421",,5,STAR-1,ANDREA,36.00,36.00,6,EMBARCADO
DO_TR0003257601,ST-00032576-IFA3Z768277,"2026-01-26 16:58:46.218098","2026-02-25 16:58:46.218099",,11,ST02,"Cliente contenido en la orden: DO_TR0003239901",160.00,160.00,20,EMBARCADO
DO_TR0003263301,ST-00032633-IFA3Z512337,"2026-01-27 14:34:52.360734","2026-02-26 14:34:52.360735",,9,ST02,"Cliente contenido en la orden: DO_TR0003239901",357.00,353.00,37,EMBARCADO
DO_TR0003436401,ST-00034364-IFA3Z934390,"2026-02-19 15:00:10.300321","2026-03-21 15:00:10.300322",,7,ST01,"Cliente contenido en la orden: DO_TR0003239901",73.00,64.00,10,EMBARCADO
DO_TR0003282901,ST-00032829-IFA3Z133351,"2026-02-03 07:56:05.362316","2026-03-05 07:56:05.362317",,1,ST02,"Cliente contenido en la orden: DO_TR0003239901",84.00,84.00,6,EMBARCADO
DO_TR0003313901,ST-00033139-IFA3Z366783,"2026-02-05 17:12:29.853932","2026-03-07 17:12:29.853933",,6,ST03,"Cliente contenido en la orden: DO_TR0003239901",42.00,31.00,8,EMBARCADO
DO_TR0003314001,ST-00033140-IFA3Z253275,"2026-02-05 17:12:33.561657","2026-03-07 17:12:33.561657",,2,ST03,"Cliente contenido en la orden: DO_TR0003239901",44.00,44.00,5,EMBARCADO
DO_TR0003387401,ST-00033874-IFA3Z135015,"2026-02-13 14:02:09.293852","2026-03-15 14:02:09.293853",,26,ST02,"Cliente contenido en la orden: DO_TR0003239901",886.00,738.00,93,EMBARCADO
ab3ffa83-e4ca-4bcd-bfd4-9d807093411e,INVE-REF-CED-INV-3-3-20260211-000000346,"2026-02-20 08:26:55.658638","2026-03-22 08:26:55.658638",,1,STAR-1,INVENTARIOS,3.00,3.00,1,EMBARCADO
SAL-3-3-20260116-000000226,"TAF OLR 31261","2026-01-16 16:09:43.784723","2026-02-15 16:09:43.784724",,53,ST01,DHL,591.00,579.00,52,EMBARCADO
SAL-3-3-20260119-000000255,"DURADEL 31743","2026-01-19 21:09:28.002508","2026-02-18 21:09:28.002508",,20,ST01,DHL,115.00,114.00,19,EMBARCADO
DO_TR0003240101,ST-00032401-IFA3Z876461,"2026-01-22 15:23:30.043815","2026-02-21 15:23:30.043816",,11,ST01,"Cliente contenido en la orden: DO_TR0003239901",172.00,172.00,23,EMBARCADO
DO_TR0003283001,ST-00032830-IFA3Z922084,"2026-02-03 07:56:06.292844","2026-03-05 07:56:06.292844",,8,ST04,"Cliente contenido en la orden: DO_TR0003239901",212.00,208.00,23,EMBARCADO
SAL-3-3-20260119-000000249,"SUBURBIA 31486","2026-01-19 20:31:59.591101","2026-02-18 20:31:59.591101",,2,ST01,DHL,24.00,24.00,2,EMBARCADO
SAL-3-3-20260119-000000247,"MODERNA 31533 ","2026-01-19 20:31:59.664594","2026-02-18 20:31:59.664595",,2,ST01,DHL,14.00,12.00,1,EMBARCADO
DO_TR0003263401,ST-00032634-IFA3Z593083,"2026-01-27 14:34:58.575422","2026-02-26 14:34:58.575423",,20,ST03,"Cliente contenido en la orden: DO_TR0003239901",140.00,126.00,21,EMBARCADO
DO_TR0003243301,ST-00032433-IFA3Z303143,"2026-01-23 16:05:36.804977","2026-02-22 16:05:36.804978",,6,ST01,"Cliente contenido en la orden: DO_TR0003239901",76.00,76.00,10,EMBARCADO
INVS-CED-3-3-20260303-000000359,INVE-REF-CED-INV-3-3-20260303-000000358,"2026-03-03 17:47:27.560582","2026-04-02 17:47:27.560582",,1,STAR-1,INVENTARIOS,1.00,1.00,1,EMBARCADO
DO_TR0003378501,ST-00033785-IFA3Z224680,"2026-02-12 12:00:11.321312","2026-03-14 12:00:11.321314",,11,ST03,"Cliente contenido en la orden: DO_TR0003239901",132.00,111.00,18,EMBARCADO
DO_TR0003387601,ST-00033876-IFA3Z512191,"2026-02-13 14:02:39.171919","2026-03-15 14:02:39.17192",,28,ST04,"Cliente contenido en la orden: DO_TR0003239901",811.00,750.00,78,EMBARCADO
DO_TR0003523301,ST-00035233-IFA3Z795954,"2026-03-04 17:26:00.618587","2026-04-03 17:26:00.618587",,34,ST03,"Cliente contenido en la orden: DO_TR0003239901",1175.00,968.00,105,EMBARCADO
d287c66d-a217-498b-84f3-21e4805b9d54,INVE-REF-CED-INV-3-3-20260211-000000568,"2026-02-20 08:32:35.69966","2026-03-22 08:32:35.69966",,4,STAR-1,INVENTARIOS,5.00,5.00,4,EMBARCADO
INVS-CED-3-3-20260216-000000158,INVE-REF-CED-INV-3-3-20260216-000000157,"2026-02-16 14:40:31.702958","2026-03-18 14:40:31.702958",,12,STAR-1,INVENTARIOS,8.00,8.00,1,EMBARCADO
INVS-CED-3-3-20260307-000000543,INVE-REF-CED-INV-3-3-20260307-000000542,"2026-03-07 10:19:41.3643","2026-04-06 10:19:41.3643",,4,STAR-1,INVENTARIOS,11.00,11.00,1,EMBARCADO
SAL-3-3-20260119-000000256,"DURADEL 31743-1","2026-01-19 21:12:38.574279","2026-02-18 21:12:38.574279",,2,ST01,DHL,15.00,15.00,2,EMBARCADO
DO_TR0003240201,ST-00032402-IFA3Z351699,"2026-01-22 15:23:33.307876","2026-02-21 15:23:33.307877",,1,ST01,"Cliente contenido en la orden: DO_TR0003239901",49.00,49.00,5,EMBARCADO
DO_TR0003263501,ST-00032635-IFA3Z821305,"2026-01-27 14:35:11.25981","2026-02-26 14:35:11.25981",,3,ST01,"Cliente contenido en la orden: DO_TR0003239901",30.00,30.00,4,EMBARCADO
DO_TR0003283101,ST-00032831-IFA3Z382086,"2026-02-03 07:56:11.439673","2026-03-05 07:56:11.439674",,8,ST03,"Cliente contenido en la orden: DO_TR0003239901",183.00,183.00,19,EMBARCADO
DO_TR0003415701,ST-00034157-IFA3Z118886,"2026-02-18 12:00:10.297497","2026-03-20 12:00:10.297497",,10,ST03,"Cliente contenido en la orden: DO_TR0003239901",280.00,280.00,32,EMBARCADO
INVS-CED-3-3-20260228-000000256,INVE-REF-CED-INV-3-3-20260228-000000255,"2026-02-28 13:37:26.789877","2026-03-30 13:37:26.789877",,10,STAR-1,INVENTARIOS,11.00,10.00,5,EMBARCADO
DO_TR0003314101,ST-00033141-IFA3Z173935,"2026-02-05 17:12:35.118755","2026-03-07 17:12:35.118755",,9,ST02,"Cliente contenido en la orden: DO_TR0003239901",25.00,20.00,11,EMBARCADO
SAL-3-3-20260116-000000227,"SEARS 31084","2026-01-16 16:09:44.566824","2026-02-15 16:09:44.566825",,32,ST01,DHL,384.00,384.00,32,EMBARCADO
DO_TR0003323601,ST-00033236-IFA3Z537696,"2026-02-06 16:34:32.049168","2026-03-08 16:34:32.049169",,23,ST01,"Cliente contenido en la orden: DO_TR0003239901",118.00,99.00,46,EMBARCADO
INVS-CED-3-3-20260225-000000200,INVE-REF-CED-INV-3-3-20260225-000000199,"2026-02-25 08:06:30.937769","2026-03-27 08:06:30.937769",,8,STAR-1,INVENTARIOS,2.00,2.00,2,EMBARCADO
DO_TR0003378601,ST-00033786-IFA3Z890438,"2026-02-12 12:00:19.11322","2026-03-14 12:00:19.113221",,6,ST02,"Cliente contenido en la orden: DO_TR0003239901",372.00,372.00,33,EMBARCADO
DO_117553700021,62505299-IFA3Z707587,"2026-02-23 20:20:09.406391","2026-03-25 20:20:09.406392",,4,ST03,COPPEL,73.00,73.00,10,EMBARCADO
INVS-CED-3-3-20260228-000000245,INVE-REF-CED-INV-3-3-20260228-000000244,"2026-02-28 12:33:45.487543","2026-03-30 12:33:45.487543",,5,STAR-1,INVENTARIOS,12.00,10.00,1,EMBARCADO
DO_TR0003277301,ST-00032773-IFA3Z260316,"2026-01-29 16:43:32.612634","2026-02-28 16:43:32.612634",,146,ST02,"Cliente contenido en la orden: DO_TR0003239901",7639.00,7286.00,804,EMBARCADO
DO_TR0003283201,ST-00032832-IFA3Z893760,"2026-02-03 07:56:16.910868","2026-03-05 07:56:16.910868",,7,ST01,"Cliente contenido en la orden: DO_TR0003239901",360.00,360.00,37,EMBARCADO
DO_TR0003296201,ST-00032962-IFA3Z810722,"2026-02-03 13:26:07.847502","2026-03-05 13:26:07.847502",,12,ST01,"Cliente contenido en la orden: DO_TR0003239901",1065.00,1046.00,126,EMBARCADO
SAL-3-3-20260119-000000252,"MODERNA 31609","2026-01-19 20:31:59.627722","2026-02-18 20:31:59.627723",,1,ST01,DHL,3.00,3.00,1,EMBARCADO
