proveedor,proyecto,factura,documento_id,referencia,pedimento,fecha,fecha_cierre,sku:right,desc,ubicacion,lote,sid,caducidad,tarimas,cantidad,cantidad_recibida,costo,importe_costo,precio,importe,calidad,contenedor,
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",119340,"",00019732300707753204,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",121280,"",00019732300707752979,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",121280,"",00019732300707753136,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",121280,"",00019732300707754461,---,1,10.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707752986,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707752993,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753020,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753037,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753075,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753082,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753099,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753105,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753112,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753129,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753143,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753167,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753174,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753181,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753211,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366283,"REEBOK COURT CLEAN",---,"",00019732300707753235,---,1,12.00,"         298.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366290,"REEBOK COURT CLEAN",121260,"",00019732300707753259,---,1,12.00,"         307.0000",0.00,0.0000,0.00,0.0000,A,""
REEBOK,---,---,ENT-3-3-20260109-000000252,"INV INICIAL 18",---,"09/01/2026 16:40",---,1200179366290,"REEBOK COURT CLEAN",121260,"",00019732300707753303,---,1,12.00,"         307.0000",0.00,0.0000,0.00,0.0000,A,""
